code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
DIG,2022-03-10,15:03:03,HOSE,STOCK,88.1,94.2,82.0,91.8,93.0,90.2,91.0,91.74,91.8,93.0,90.2,91.0,91.74,3015500.0,276635960000.0,0.0,0.0,2.9,2.9,3.2917
DIG,2022-03-09,15:03:03,HOSE,STOCK,87.6,93.7,81.5,88.8,89.0,82.3,88.1,86.4,88.8,89.0,82.3,88.1,86.4,6316400.0,545760270000.0,0.0,0.0,0.5,0.5,0.5708
DIG,2022-03-08,15:03:02,HOSE,STOCK,94.1,100.6,87.6,90.2,93.4,87.6,87.6,89.58,90.2,93.4,87.6,87.6,89.58,9470200.0,848337300000.0,0.0,0.0,-6.5,-6.5,-6.9075
DIG,2022-03-07,15:03:03,HOSE,STOCK,96.2,102.9,89.5,96.9,97.5,93.0,94.1,95.05,96.9,97.5,93.0,94.1,95.05,4292900.0,408038480000.0,0.0,0.0,-2.1,-2.1,-2.183
DIG,2022-03-04,15:03:03,HOSE,STOCK,93.4,99.9,86.9,94.0,98.6,92.8,96.2,95.94,94.0,98.6,92.8,96.2,95.94,5264200.0,505073110000.0,0.0,0.0,2.8,2.8,2.9979
DIG,2022-03-03,15:03:04,HOSE,STOCK,92.3,98.7,85.9,93.0,94.5,92.0,93.4,93.28,93.0,94.5,92.0,93.4,93.28,3361900.0,313602830000.0,0.0,0.0,1.1,1.1,1.1918
DIG,2022-03-02,15:03:03,HOSE,STOCK,92.0,98.4,85.6,93.9,95.5,90.0,92.3,93.22,93.9,95.5,90.0,92.3,93.22,4674900.0,435811210000.0,0.0,0.0,0.3,0.3,0.3261
DIG,2022-03-01,15:03:04,HOSE,STOCK,86.0,92.0,80.0,86.1,92.0,86.0,92.0,90.51,86.1,92.0,86.0,92.0,90.51,7356500.0,665842710000.0,0.0,0.0,6.0,6.0,6.9767
DIG,2022-02-28,15:02:03,HOSE,STOCK,88.1,94.2,82.0,87.0,89.0,84.0,86.0,86.28,87.0,89.0,84.0,86.0,86.28,4523200.0,390277440000.0,0.0,0.0,-2.1,-2.1,-2.3837
DIG,2022-02-25,15:02:04,HOSE,STOCK,87.4,93.5,81.3,90.3,91.9,88.1,88.1,89.9,90.3,91.9,88.1,88.1,89.9,4180300.0,375805670000.0,0.0,0.0,0.7,0.7,0.8009
DIG,2022-02-24,15:02:03,HOSE,STOCK,93.0,99.5,86.5,92.0,94.0,86.5,87.4,87.73,92.0,94.0,86.5,87.4,87.73,10818300.0,949131130000.0,0.0,0.0,-5.6,-5.6,-6.0215
DIG,2022-02-23,15:02:03,HOSE,STOCK,88.4,94.5,82.3,90.0,94.0,88.4,93.0,90.94,90.0,94.0,88.4,93.0,90.94,6058000.0,550924500000.0,0.0,0.0,4.6,4.6,5.2036
DIG,2022-02-22,15:02:02,HOSE,STOCK,95.0,101.6,88.4,88.4,92.3,88.4,88.4,89.11,88.4,92.3,88.4,88.4,89.11,12212200.0,1088214730000.0,0.0,0.0,-6.6,-6.6,-6.9474
DIG,2022-02-21,15:02:03,HOSE,STOCK,91.5,97.9,85.1,94.0,97.6,92.3,95.0,95.02,94.0,97.6,92.3,95.0,95.02,4792200.0,455335470000.0,0.0,0.0,3.5,3.5,3.8251
DIG,2022-02-18,15:02:03,HOSE,STOCK,85.7,91.6,79.8,85.0,91.6,84.0,91.5,88.63,85.0,91.6,84.0,91.5,88.63,5543100.0,491274290000.0,0.0,0.0,5.8,5.8,6.7678
DIG,2022-02-17,15:02:03,HOSE,STOCK,84.4,90.3,78.5,87.2,89.0,84.0,85.7,85.74,87.2,89.0,84.0,85.7,85.74,7571800.0,649218790000.0,0.0,0.0,1.3,1.3,1.5403
DIG,2022-02-16,15:02:03,HOSE,STOCK,78.9,84.4,73.4,82.5,84.4,82.0,84.4,83.93,82.5,84.4,82.0,84.4,83.93,3266800.0,274175660000.0,0.0,0.0,5.5,5.5,6.9708
DIG,2022-02-15,15:02:03,HOSE,STOCK,73.8,78.9,68.7,74.8,78.9,74.0,78.9,77.87,74.8,78.9,74.0,78.9,77.87,4811200.0,374656400000.0,0.0,0.0,5.1,5.1,6.9106
DIG,2022-02-14,15:02:02,HOSE,STOCK,69.0,73.8,64.2,66.0,73.8,66.0,73.8,70.56,66.0,73.8,66.0,73.8,70.56,6599000.0,465632990000.0,165400.0,10618680000.0,4.8,4.8,6.9565
DIG,2022-02-11,15:02:05,HOSE,STOCK,72.9,78.0,67.8,71.0,74.9,69.0,69.0,71.55,71.0,74.9,69.0,69.0,71.55,4926000.0,352435250000.0,0.0,0.0,-3.9,-3.9,-5.3498
DIG,2022-02-10,15:02:04,HOSE,STOCK,68.2,72.9,63.5,72.9,72.9,71.2,72.9,72.67,72.9,72.9,71.2,72.9,72.67,4090600.0,297277250000.0,165000.0,10477500000.0,4.7,4.7,6.8915
DIG,2022-02-09,15:02:03,HOSE,STOCK,63.8,68.2,59.4,59.4,68.2,59.4,68.2,61.44,59.4,68.2,59.4,68.2,61.44,10218600.0,627836670000.0,0.0,0.0,4.4,4.4,6.8966
DIG,2022-02-08,15:02:03,HOSE,STOCK,68.5,73.2,63.8,63.9,65.9,63.8,63.8,64.08,63.9,65.9,63.8,63.8,64.08,6680600.0,428125900000.0,0.0,0.0,-4.7,-4.7,-6.8613
